house_title,location,emi,price,bathroom,parking,localityTruncated,propertyType,state,typeDesc,propertySize
"1 BHK Flat  In Shraddha Residency, Udyognagar,chinchwad,pune For Sale  In Shraddha Residency",shraddha residency,"27,224/Month",4750000,2,TWO_WHEELER,shraddha residency,BUY,READY,1 BHK,630
2 BHK Flat  In Bhumi Siddhi For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"60,180/Month",10500000,2,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,1180
"2 BHK Flat  In Sai Udyan Society, Pcmc Link Road, Chinchwad For Sale  In Chinchwad",Chinchwad,"41,266/Month",7200000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1002
2 BHK Flat  In Suknagari Chs For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"34,388/Month",6000000,1,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,850
3 BHK House  For Sale  In Nigdi,Nigdi,"80,240/Month",14000000,3,FOUR_WHEELER,Nigdi,BUY,READY,3 BHK,2200
2 BHK Flat  In Morya Housing Society  For Sale  In Katraj,Katraj,"41,839/Month",7300000,2,BOTH,Katraj,BUY,READY,2 BHK,1117
1 RK Flat  In Bank Auction Property - Vinayak Arcade For Sale  In Akurdi,Akurdi,"19,057/Month",3325000,1,BOTH,Akurdi,BUY,READY,1 RK,357
3 BHK Flat  In Vision Vanessa For Sale  In Ravet,Ravet,"92,666/Month",16168000,3,BOTH,Ravet,BUY,READY,3 BHK,2034
2 BHK Flat  In Harmony Society For Sale  In Nigdi,Nigdi,"42,985/Month",7500000,2,BOTH,Nigdi,BUY,READY,2 BHK,856
2 BHK Flat  In Megha Housing Society For Sale  In Megha Housing Society,Megha Housing Society,"31,522/Month",5500000,1,FOUR_WHEELER,Megha Housing Society,BUY,READY,2 BHK,1000
3 BHK Flat  In Empire Square For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"73,935/Month",12900000,2,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1450
1 BHK Flat  In Aaditya Vaastu For Sale  In Aditya Vastu,Aditya Vastu,"27,725/Month",4837500,1,FOUR_WHEELER,Aditya Vastu,BUY,READY,1 BHK,670
1 BHK Flat  In Mantra Meraki For Sale  In Pimpri - Chinchwad,Pimpri - Chinchwad,"32,055/Month",5593000,1,BOTH,Pimpri - Chinchwad,BUY,READY,1 BHK,817
3 BHK Flat  In Vasant Estella For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"61,418/Month",10716000,3,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,1500
2 BHK Flat  In Vasant Estella For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"48,018/Month",8378000,2,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,1085
4+ BHK Flat  In Mantra Meraki For Sale  In Pimpri - Chinchwad,Pimpri - Chinchwad,1.02 Lacs/Month,17860000,4,BOTH,Pimpri - Chinchwad,BUY,READY,4+ BHK,2248
2 BHK Flat  In Mantra  Meraki For Sale  In Pimpri - Chinchwad,Pimpri - Chinchwad,"49,565/Month",8648000,2,BOTH,Pimpri - Chinchwad,BUY,READY,2 BHK,1128
3 BHK House  For Sale  In Akurdi,Akurdi,"34,388/Month",6000000,2,FOUR_WHEELER,Akurdi,BUY,READY,3 BHK,1500
3 BHK Flat  In Aishwaryam Comfort Gold For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"51,181/Month",8930000,3,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1278
2 BHK Flat  In Golande Estate For Sale  In Chinchwad,Chinchwad,"46,997/Month",8200000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1115
4+ BHK House  For Sale  In Dehugaon,Dehugaon,"54,448/Month",9500000,9,BOTH,Dehugaon,BUY,READY,4+ BHK,2700
2 BHK Flat  In Aishwaryam Comfort  For Sale  In Chichwad ,Chichwad ,"39,546/Month",6900000,2,BOTH,Chichwad ,BUY,READY,2 BHK,790
3 BHK Flat  In Rainbow Sunrise Tower For Sale  In Ravet,Ravet,"55,491/Month",9682000,3,BOTH,Ravet,BUY,READY,3 BHK,1321
2 BHK Flat  In Rainbow Sunrise Tower For Sale  In Ravet,Ravet,"47,989/Month",8373000,2,BOTH,Ravet,BUY,READY,2 BHK,1144
2 BHK Flat  In Shantiban Housing Society For Sale  In Vishrantwadi,Vishrantwadi,"34,388/Month",6000000,2,FOUR_WHEELER,Vishrantwadi,BUY,READY,2 BHK,950
2 BHK Flat  In Aishwaryam Comfort Gold For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"45,794/Month",7990000,2,BOTH,Pimpri Chinchwad,BUY,READY,2 BHK,1148
"1 BHK Flat  In Shraddha Residency, Udyognagar,chinchwad,pune For Sale  In Shraddha Residency",shraddha residency,"27,224/Month",4750000,2,TWO_WHEELER,shraddha residency,BUY,READY,1 BHK,630
2 BHK Flat  In Bhumi Siddhi For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"60,180/Month",10500000,2,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,1180
"2 BHK Flat  In Sai Udyan Society, Pcmc Link Road, Chinchwad For Sale  In Chinchwad",Chinchwad,"41,266/Month",7200000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1002
2 BHK Flat  In Suknagari Chs For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"34,388/Month",6000000,1,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,850
3 BHK House  For Sale  In Nigdi,Nigdi,"80,240/Month",14000000,3,FOUR_WHEELER,Nigdi,BUY,READY,3 BHK,2200
2 BHK Flat  In Morya Housing Society  For Sale  In Katraj,Katraj,"41,839/Month",7300000,2,BOTH,Katraj,BUY,READY,2 BHK,1117
1 RK Flat  In Bank Auction Property - Vinayak Arcade For Sale  In Akurdi,Akurdi,"19,057/Month",3325000,1,BOTH,Akurdi,BUY,READY,1 RK,357
3 BHK Flat  In Vision Vanessa For Sale  In Ravet,Ravet,"92,666/Month",16168000,3,BOTH,Ravet,BUY,READY,3 BHK,2034
2 BHK Flat  In Harmony Society For Sale  In Nigdi,Nigdi,"42,985/Month",7500000,2,BOTH,Nigdi,BUY,READY,2 BHK,856
2 BHK Flat  In Megha Housing Society For Sale  In Megha Housing Society,Megha Housing Society,"31,522/Month",5500000,1,FOUR_WHEELER,Megha Housing Society,BUY,READY,2 BHK,1000
3 BHK Flat  In Empire Square For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"73,935/Month",12900000,2,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1450
1 BHK Flat  In Aaditya Vaastu For Sale  In Aditya Vastu,Aditya Vastu,"27,725/Month",4837500,1,FOUR_WHEELER,Aditya Vastu,BUY,READY,1 BHK,670
1 BHK Flat  In Mantra Meraki For Sale  In Pimpri - Chinchwad,Pimpri - Chinchwad,"32,055/Month",5593000,1,BOTH,Pimpri - Chinchwad,BUY,READY,1 BHK,817
3 BHK Flat  In Vasant Estella For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"61,418/Month",10716000,3,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,1500
2 BHK Flat  In Vasant Estella For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"48,018/Month",8378000,2,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,1085
4+ BHK Flat  In Mantra Meraki For Sale  In Pimpri - Chinchwad,Pimpri - Chinchwad,1.02 Lacs/Month,17860000,4,BOTH,Pimpri - Chinchwad,BUY,READY,4+ BHK,2248
2 BHK Flat  In Mantra  Meraki For Sale  In Pimpri - Chinchwad,Pimpri - Chinchwad,"49,565/Month",8648000,2,BOTH,Pimpri - Chinchwad,BUY,READY,2 BHK,1128
3 BHK House  For Sale  In Akurdi,Akurdi,"34,388/Month",6000000,2,FOUR_WHEELER,Akurdi,BUY,READY,3 BHK,1500
3 BHK Flat  In Aishwaryam Comfort Gold For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"51,181/Month",8930000,3,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1278
2 BHK Flat  In Golande Estate For Sale  In Chinchwad,Chinchwad,"46,997/Month",8200000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1115
4+ BHK House  For Sale  In Dehugaon,Dehugaon,"54,448/Month",9500000,9,BOTH,Dehugaon,BUY,READY,4+ BHK,2700
2 BHK Flat  In Aishwaryam Comfort  For Sale  In Chichwad ,Chichwad ,"39,546/Month",6900000,2,BOTH,Chichwad ,BUY,READY,2 BHK,790
2 BHK Flat  In Rainbow Sunrise Tower For Sale  In Ravet,Ravet,"47,989/Month",8373000,2,BOTH,Ravet,BUY,READY,2 BHK,1144
3 BHK Flat  In Rainbow Sunrise Tower For Sale  In Ravet,Ravet,"55,491/Month",9682000,3,BOTH,Ravet,BUY,READY,3 BHK,1321
2 BHK Flat  In Shantiban Housing Society For Sale  In Vishrantwadi,Vishrantwadi,"34,388/Month",6000000,2,FOUR_WHEELER,Vishrantwadi,BUY,READY,2 BHK,950
2 BHK Flat  In Aishwaryam Comfort Gold For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"45,794/Month",7990000,2,BOTH,Pimpri Chinchwad,BUY,READY,2 BHK,1148
2 BHK Flat  In Aishwaryam Comfort Gold For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"45,794/Month",7990000,2,BOTH,Pimpri Chinchwad,BUY,READY,2 BHK,1148
2 BHK Flat  In Sukrut Residency For Sale  In Nigdi Pradhikaran,Nigdi Pradhikaran,"46,997/Month",8200000,2,FOUR_WHEELER,Nigdi Pradhikaran,BUY,READY,2 BHK,960
"2 BHK Flat  In The Metropolitan, Chinchwad For Sale  In Pimpri-chinchwad",Pimpri-Chinchwad,"51,583/Month",9000000,2,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,1066
2 BHK Flat  For Sale  In Walhekarwadi,Walhekarwadi,"34,388/Month",6000000,2,BOTH,Walhekarwadi,BUY,READY,2 BHK,870
2 BHK Flat  In Tuljai Classic For Sale  In Akurdi,Akurdi,"25,218/Month",4400000,1,FOUR_WHEELER,Akurdi,BUY,READY,2 BHK,758
3 BHK Flat  In Gayatrree Grace For Sale  In Nigdi,Nigdi,1.32 Lacs/Month,23000000,2,BOTH,Nigdi,BUY,REJECTED,3 BHK,2760
2 BHK Flat  In The Central Park For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"47,949/Month",8366000,2,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,952
4 BHK Flat  In The Central Park For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,1.43 Lacs/Month,24910000,4,BOTH,Pimpri-Chinchwad,BUY,READY,4 BHK,2641
3 BHK Flat  In The Central Park For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"72,732/Month",12690000,3,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,1399
2 BHK Flat  In Kunal Estate For Sale  In Chinchwad,Chinchwad,"38,973/Month",6800000,1,NONE,Chinchwad,BUY,READY,2 BHK,1019
3 BHK Flat  In Nisarg Darshan Society For Sale  In Nigdi,Nigdi,"54,448/Month",9500000,2,FOUR_WHEELER,Nigdi,BUY,READY,3 BHK,1160
2 BHK Flat  In Sangeeta Apartment  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"42,985/Month",7500000,2,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,940
"3 BHK Flat  In Royale Vision, Pradhikaran For Sale  In Pradhikaran",Pradhikaran,"77,374/Month",13500000,3,BOTH,Pradhikaran,BUY,READY,3 BHK,1350
2 BHK Flat  For Sale  In Darshan Nagri Housing Society,Darshan Nagri Housing Society,"31,522/Month",5500000,1,TWO_WHEELER,Darshan Nagri Housing Society,BUY,READY,2 BHK,770
1 BHK Flat  In Sai Puja Baugh Phase Ii For Sale  In Akurdi,Akurdi,"25,046/Month",4370000,1,BOTH,Akurdi,BUY,READY,1 BHK,650
"2 BHK Flat  In Sv Residency For Sale  In Pimpri-chinchwad, ","Pimpri-Chinchwad, ","11,462/Month",2000000,1,TWO_WHEELER,"Pimpri-Chinchwad, ",BUY,READY,2 BHK,600
2 BHK Flat  In Sita Residency For Sale  In Akurdi,Akurdi,"31,522/Month",5500000,1,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,750
2 BHK Flat  In Krishna Apartment Pimpri Chinchwad For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"28,651/Month",4999000,2,FOUR_WHEELER,Pimpri Chinchwad,BUY,READY,2 BHK,850
1 BHK Flat  In Sarva Plaza For Sale  In Chinchwad,Chinchwad,"13,749/Month",2399000,1,BOTH,Chinchwad,BUY,READY,1 BHK,400
2 BHK Flat  In Dwarka Apartment Nigdi For Sale  In Mahavir Bhavan Jain Dharmshala,MAHAVIR BHAVAN JAIN DHARMSHALA,"31,522/Month",5500000,1,TWO_WHEELER,MAHAVIR BHAVAN JAIN DHARMSHALA,BUY,READY,2 BHK,1147
1 BHK Flat  In Sanket Apartments For Sale  In Walhekarwadi,Walhekarwadi,"14,615/Month",2550000,1,FOUR_WHEELER,Walhekarwadi,BUY,READY,1 BHK,635
2 BHK Flat  In Sukhakarta Society For Sale  In Nigdi,Nigdi,"22,925/Month",4000000,1,BOTH,Nigdi,BUY,READY,2 BHK,700
2 BHK Flat  In Om Sai Ram Complex For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"28,657/Month",5000000,1,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,900
"1 BHK Flat  In Vidula Society For Sale  In Krushna Nagar, Chinchwad","Krushna Nagar, Chinchwad","17,194/Month",3000000,1,NONE,"Krushna Nagar, Chinchwad",BUY,READY,1 BHK,550
"1 BHK Flat  In Gawade Mansion  For Sale  In Gawade Nagar, Chinchwad","Gawade Nagar, Chinchwad","30,376/Month",5300000,1,TWO_WHEELER,"Gawade Nagar, Chinchwad",BUY,READY,1 BHK,650
2 BHK Flat  For Sale  In Nigdi,Nigdi,"45,851/Month",8000000,2,BOTH,Nigdi,BUY,READY,2 BHK,875
2 BHK Flat  For Sale  In Nigdi,Nigdi,"45,851/Month",8000000,2,BOTH,Nigdi,BUY,READY,2 BHK,875
3 BHK Flat  In Sunrise Tower For Sale  In Nigdi,Nigdi,"61,326/Month",10700000,3,FOUR_WHEELER,Nigdi,BUY,READY,3 BHK,1434
2 BHK Flat  In Shreetej Residency For Sale  In Tanaji Nagar,Tanaji Nagar,"37,254/Month",6500000,2,FOUR_WHEELER,Tanaji Nagar,BUY,READY,2 BHK,783
2 BHK Flat  In Goyal Garima For Sale  In Chinchwad,Chinchwad,"41,266/Month",7200000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,870
"2 BHK Flat  In Shubhashree Residential, Phase 2 For Sale  In Akurdi Chowk",Akurdi Chowk,"46,424/Month",8100000,2,BOTH,Akurdi Chowk,BUY,READY,2 BHK,900
2 BHK Flat  In Bhojwani Shivnandan For Sale  In Pimpri,Pimpri,"42,985/Month",7500000,2,BOTH,Pimpri,BUY,READY,2 BHK,756
"1 BHK In Rustom Colony Chs For Sale  In Ruston Colony, Skf Colony, Chinchwad","Ruston Colony, SKF Colony, Chinchwad","22,925/Month",4000000,1,FOUR_WHEELER,"Ruston Colony, SKF Colony, ...",BUY,READY,1 BHK,450
1 RK Flat  In Indraprastha Society For Sale  In Akurdi ,Akurdi ,"20,060/Month",3500000,1,TWO_WHEELER,Akurdi ,BUY,READY,1 RK,500
3 BHK Flat  In Empire Square Hsg Society For Sale  In Chinchwad,Chinchwad,1.12 Lacs/Month,19500000,3,BOTH,Chinchwad,BUY,READY,3 BHK,1500
